label,topic_id,topic_coherence
K10_alphasymmetric_betasymmetric,0,0.417710619100628
K10_alphasymmetric_betasymmetric,1,0.3374263203198625
K10_alphasymmetric_betasymmetric,2,0.6280185130236253
K10_alphasymmetric_betasymmetric,3,0.5328376464524074
K10_alphasymmetric_betasymmetric,4,0.3597009975657199
K10_alphasymmetric_betasymmetric,5,0.3730784663376644
K10_alphasymmetric_betasymmetric,6,0.31918062289364796
K10_alphasymmetric_betasymmetric,7,0.46393390557488107
K10_alphasymmetric_betasymmetric,8,0.3922004913224778
K10_alphasymmetric_betasymmetric,9,0.6014017648972647
K10_alphasymmetric_beta0.01,0,0.417710619100628
K10_alphasymmetric_beta0.01,1,0.3374263203198625
K10_alphasymmetric_beta0.01,2,0.6280185130236254
K10_alphasymmetric_beta0.01,3,0.5328376464524075
K10_alphasymmetric_beta0.01,4,0.3597009975657199
K10_alphasymmetric_beta0.01,5,0.3730784663376644
K10_alphasymmetric_beta0.01,6,0.32907734289374196
K10_alphasymmetric_beta0.01,7,0.46393390557488107
K10_alphasymmetric_beta0.01,8,0.3922004913224778
K10_alphasymmetric_beta0.01,9,0.6014017648972647
K10_alphasymmetric_beta0.1,0,0.417710619100628
K10_alphasymmetric_beta0.1,1,0.3374263203198625
K10_alphasymmetric_beta0.1,2,0.6280185130236253
K10_alphasymmetric_beta0.1,3,0.5328376464524074
K10_alphasymmetric_beta0.1,4,0.3597009975657199
K10_alphasymmetric_beta0.1,5,0.3730784663376644
K10_alphasymmetric_beta0.1,6,0.31918062289364796
K10_alphasymmetric_beta0.1,7,0.46393390557488107
K10_alphasymmetric_beta0.1,8,0.3922004913224778
K10_alphasymmetric_beta0.1,9,0.6014017648972647
K10_alphasymmetric_beta0.5,0,0.41771061910062796
K10_alphasymmetric_beta0.5,1,0.3563984786096101
K10_alphasymmetric_beta0.5,2,0.6280185130236253
K10_alphasymmetric_beta0.5,3,0.5328376464524075
K10_alphasymmetric_beta0.5,4,0.3596777847642954
K10_alphasymmetric_beta0.5,5,0.3730784663376644
K10_alphasymmetric_beta0.5,6,0.3150293541497616
K10_alphasymmetric_beta0.5,7,0.4639339055748811
K10_alphasymmetric_beta0.5,8,0.3922004913224778
K10_alphasymmetric_beta0.5,9,0.642094290300393
K10_alphaasymmetric_betasymmetric,0,0.417710619100628
K10_alphaasymmetric_betasymmetric,1,0.3374263203198625
K10_alphaasymmetric_betasymmetric,2,0.6280185130236254
K10_alphaasymmetric_betasymmetric,3,0.5325317605711314
K10_alphaasymmetric_betasymmetric,4,0.3597009975657199
K10_alphaasymmetric_betasymmetric,5,0.3730784663376644
K10_alphaasymmetric_betasymmetric,6,0.31918062289364796
K10_alphaasymmetric_betasymmetric,7,0.46393390557488107
K10_alphaasymmetric_betasymmetric,8,0.3922004913224779
K10_alphaasymmetric_betasymmetric,9,0.6014017648972646
K10_alphaasymmetric_beta0.01,0,0.417710619100628
K10_alphaasymmetric_beta0.01,1,0.3374263203198625
K10_alphaasymmetric_beta0.01,2,0.6280185130236254
K10_alphaasymmetric_beta0.01,3,0.5328376464524076
K10_alphaasymmetric_beta0.01,4,0.3597009975657199
K10_alphaasymmetric_beta0.01,5,0.37307846633766434
K10_alphaasymmetric_beta0.01,6,0.3170923574473008
K10_alphaasymmetric_beta0.01,7,0.46393390557488107
K10_alphaasymmetric_beta0.01,8,0.3922004913224779
K10_alphaasymmetric_beta0.01,9,0.6014017648972647
K10_alphaasymmetric_beta0.1,0,0.417710619100628
K10_alphaasymmetric_beta0.1,1,0.3374263203198625
K10_alphaasymmetric_beta0.1,2,0.6280185130236254
K10_alphaasymmetric_beta0.1,3,0.5325317605711314
K10_alphaasymmetric_beta0.1,4,0.3597009975657199
K10_alphaasymmetric_beta0.1,5,0.3730784663376644
K10_alphaasymmetric_beta0.1,6,0.31918062289364796
K10_alphaasymmetric_beta0.1,7,0.46393390557488107
K10_alphaasymmetric_beta0.1,8,0.3922004913224779
K10_alphaasymmetric_beta0.1,9,0.6014017648972646
K10_alphaasymmetric_beta0.5,0,0.41771061910062796
K10_alphaasymmetric_beta0.5,1,0.3563984786096101
K10_alphaasymmetric_beta0.5,2,0.6280185130236253
K10_alphaasymmetric_beta0.5,3,0.5120258066568601
K10_alphaasymmetric_beta0.5,4,0.3596777847642954
K10_alphaasymmetric_beta0.5,5,0.3730784663376644
K10_alphaasymmetric_beta0.5,6,0.3236415232534965
K10_alphaasymmetric_beta0.5,7,0.46393390557488107
K10_alphaasymmetric_beta0.5,8,0.3922004913224778
K10_alphaasymmetric_beta0.5,9,0.642094290300393
K10_alpha0.01_betasymmetric,0,0.417710619100628
K10_alpha0.01_betasymmetric,1,0.3374263203198625
K10_alpha0.01_betasymmetric,2,0.6280185130236253
K10_alpha0.01_betasymmetric,3,0.5328376464524074
K10_alpha0.01_betasymmetric,4,0.3597009975657199
K10_alpha0.01_betasymmetric,5,0.3730784663376644
K10_alpha0.01_betasymmetric,6,0.31918062289364796
K10_alpha0.01_betasymmetric,7,0.46393390557488107
K10_alpha0.01_betasymmetric,8,0.3922004913224778
K10_alpha0.01_betasymmetric,9,0.6014017648972647
K10_alpha0.01_beta0.01,0,0.417710619100628
K10_alpha0.01_beta0.01,1,0.3374263203198625
K10_alpha0.01_beta0.01,2,0.6280185130236254
K10_alpha0.01_beta0.01,3,0.5328376464524076
K10_alpha0.01_beta0.01,4,0.3597009975657199
K10_alpha0.01_beta0.01,5,0.3730784663376644
K10_alpha0.01_beta0.01,6,0.32907734289374196
K10_alpha0.01_beta0.01,7,0.46393390557488107
K10_alpha0.01_beta0.01,8,0.3922004913224778
K10_alpha0.01_beta0.01,9,0.6014017648972647
K10_alpha0.01_beta0.1,0,0.417710619100628
K10_alpha0.01_beta0.1,1,0.3374263203198625
K10_alpha0.01_beta0.1,2,0.6280185130236253
K10_alpha0.01_beta0.1,3,0.5328376464524074
K10_alpha0.01_beta0.1,4,0.3597009975657199
K10_alpha0.01_beta0.1,5,0.3730784663376644
K10_alpha0.01_beta0.1,6,0.31918062289364796
K10_alpha0.01_beta0.1,7,0.46393390557488107
K10_alpha0.01_beta0.1,8,0.3922004913224778
K10_alpha0.01_beta0.1,9,0.6014017648972647
K10_alpha0.01_beta0.5,0,0.41771061910062796
K10_alpha0.01_beta0.5,1,0.3563984786096101
K10_alpha0.01_beta0.5,2,0.6280185130236253
K10_alpha0.01_beta0.5,3,0.5328376464524075
K10_alpha0.01_beta0.5,4,0.3596777847642954
K10_alpha0.01_beta0.5,5,0.3730784663376644
K10_alpha0.01_beta0.5,6,0.31502935414976163
K10_alpha0.01_beta0.5,7,0.4639339055748811
K10_alpha0.01_beta0.5,8,0.3922004913224778
K10_alpha0.01_beta0.5,9,0.642094290300393
K10_alpha0.1_betasymmetric,0,0.417710619100628
K10_alpha0.1_betasymmetric,1,0.3374263203198625
K10_alpha0.1_betasymmetric,2,0.6280185130236253
K10_alpha0.1_betasymmetric,3,0.5328376464524074
K10_alpha0.1_betasymmetric,4,0.3597009975657199
K10_alpha0.1_betasymmetric,5,0.3730784663376644
K10_alpha0.1_betasymmetric,6,0.31918062289364796
K10_alpha0.1_betasymmetric,7,0.46393390557488107
K10_alpha0.1_betasymmetric,8,0.3922004913224778
K10_alpha0.1_betasymmetric,9,0.6014017648972647
K10_alpha0.1_beta0.01,0,0.417710619100628
K10_alpha0.1_beta0.01,1,0.3374263203198625
K10_alpha0.1_beta0.01,2,0.6280185130236254
K10_alpha0.1_beta0.01,3,0.5328376464524075
K10_alpha0.1_beta0.01,4,0.3597009975657199
K10_alpha0.1_beta0.01,5,0.3730784663376644
K10_alpha0.1_beta0.01,6,0.32907734289374196
K10_alpha0.1_beta0.01,7,0.46393390557488107
K10_alpha0.1_beta0.01,8,0.3922004913224778
K10_alpha0.1_beta0.01,9,0.6014017648972647
K10_alpha0.1_beta0.1,0,0.417710619100628
K10_alpha0.1_beta0.1,1,0.3374263203198625
K10_alpha0.1_beta0.1,2,0.6280185130236253
K10_alpha0.1_beta0.1,3,0.5328376464524074
K10_alpha0.1_beta0.1,4,0.3597009975657199
K10_alpha0.1_beta0.1,5,0.3730784663376644
K10_alpha0.1_beta0.1,6,0.31918062289364796
K10_alpha0.1_beta0.1,7,0.46393390557488107
K10_alpha0.1_beta0.1,8,0.3922004913224778
K10_alpha0.1_beta0.1,9,0.6014017648972647
K10_alpha0.1_beta0.5,0,0.41771061910062796
K10_alpha0.1_beta0.5,1,0.3563984786096101
K10_alpha0.1_beta0.5,2,0.6280185130236253
K10_alpha0.1_beta0.5,3,0.5328376464524075
K10_alpha0.1_beta0.5,4,0.3596777847642954
K10_alpha0.1_beta0.5,5,0.3730784663376644
K10_alpha0.1_beta0.5,6,0.3150293541497616
K10_alpha0.1_beta0.5,7,0.4639339055748811
K10_alpha0.1_beta0.5,8,0.3922004913224778
K10_alpha0.1_beta0.5,9,0.642094290300393
K10_alpha0.5_betasymmetric,0,0.417710619100628
K10_alpha0.5_betasymmetric,1,0.3374263203198625
K10_alpha0.5_betasymmetric,2,0.6280185130236253
K10_alpha0.5_betasymmetric,3,0.5328376464524075
K10_alpha0.5_betasymmetric,4,0.3597009975657199
K10_alpha0.5_betasymmetric,5,0.3730784663376644
K10_alpha0.5_betasymmetric,6,0.33550588229816164
K10_alpha0.5_betasymmetric,7,0.4639339055748811
K10_alpha0.5_betasymmetric,8,0.3922004913224778
K10_alpha0.5_betasymmetric,9,0.6014017648972647
K10_alpha0.5_beta0.01,0,0.417710619100628
K10_alpha0.5_beta0.01,1,0.3374263203198625
K10_alpha0.5_beta0.01,2,0.6280185130236253
K10_alpha0.5_beta0.01,3,0.5328376464524075
K10_alpha0.5_beta0.01,4,0.3682269324012475
K10_alpha0.5_beta0.01,5,0.37307846633766434
K10_alpha0.5_beta0.01,6,0.32907734289374196
K10_alpha0.5_beta0.01,7,0.4639339055748811
K10_alpha0.5_beta0.01,8,0.3922004913224778
K10_alpha0.5_beta0.01,9,0.6014017648972648
K10_alpha0.5_beta0.1,0,0.417710619100628
K10_alpha0.5_beta0.1,1,0.3374263203198625
K10_alpha0.5_beta0.1,2,0.6280185130236253
K10_alpha0.5_beta0.1,3,0.5328376464524075
K10_alpha0.5_beta0.1,4,0.3597009975657199
K10_alpha0.5_beta0.1,5,0.3730784663376644
K10_alpha0.5_beta0.1,6,0.33550588229816164
K10_alpha0.5_beta0.1,7,0.4639339055748811
K10_alpha0.5_beta0.1,8,0.3922004913224778
K10_alpha0.5_beta0.1,9,0.6014017648972647
K10_alpha0.5_beta0.5,0,0.417710619100628
K10_alpha0.5_beta0.5,1,0.3437909468622923
K10_alpha0.5_beta0.5,2,0.6280185130236253
K10_alpha0.5_beta0.5,3,0.5328376464524074
K10_alpha0.5_beta0.5,4,0.3596777847642954
K10_alpha0.5_beta0.5,5,0.3730784663376644
K10_alpha0.5_beta0.5,6,0.3150293541497616
K10_alpha0.5_beta0.5,7,0.46173391589717483
K10_alpha0.5_beta0.5,8,0.39220049132247775
K10_alpha0.5_beta0.5,9,0.6304979230832204
K20_alphasymmetric_betasymmetric,0,0.4670452400312942
K20_alphasymmetric_betasymmetric,1,0.47417461868578803
K20_alphasymmetric_betasymmetric,2,0.5814958446711022
K20_alphasymmetric_betasymmetric,3,0.46740357285173806
K20_alphasymmetric_betasymmetric,4,0.4301904478531321
K20_alphasymmetric_betasymmetric,5,0.5161354156509066
K20_alphasymmetric_betasymmetric,6,0.42407479899573824
K20_alphasymmetric_betasymmetric,7,0.48216326795555925
K20_alphasymmetric_betasymmetric,8,0.38212361559537694
K20_alphasymmetric_betasymmetric,9,0.6363047591698233
K20_alphasymmetric_betasymmetric,10,0.3812119366522361
K20_alphasymmetric_betasymmetric,11,0.366979265738841
K20_alphasymmetric_betasymmetric,12,0.44675391273153114
K20_alphasymmetric_betasymmetric,13,0.3940451283191186
K20_alphasymmetric_betasymmetric,14,0.44611136540871515
K20_alphasymmetric_betasymmetric,15,0.4636067275137603
K20_alphasymmetric_betasymmetric,16,0.36711876002838456
K20_alphasymmetric_betasymmetric,17,0.46843232971287596
K20_alphasymmetric_betasymmetric,18,0.6040519923311941
K20_alphasymmetric_betasymmetric,19,0.3510254049540137
K20_alphasymmetric_beta0.01,0,0.4670452400312943
K20_alphasymmetric_beta0.01,1,0.4310360873674327
K20_alphasymmetric_beta0.01,2,0.5884095116492211
K20_alphasymmetric_beta0.01,3,0.46740357285173795
K20_alphasymmetric_beta0.01,4,0.3800055417884808
K20_alphasymmetric_beta0.01,5,0.527622922113526
K20_alphasymmetric_beta0.01,6,0.42853459056667226
K20_alphasymmetric_beta0.01,7,0.5491297162602349
K20_alphasymmetric_beta0.01,8,0.5415551515038693
K20_alphasymmetric_beta0.01,9,0.6219608398847918
K20_alphasymmetric_beta0.01,10,0.3812119366522361
K20_alphasymmetric_beta0.01,11,0.3669792657388409
K20_alphasymmetric_beta0.01,12,0.47030357457863614
K20_alphasymmetric_beta0.01,13,0.39404512831911853
K20_alphasymmetric_beta0.01,14,0.45048727847136316
K20_alphasymmetric_beta0.01,15,0.4636067275137604
K20_alphasymmetric_beta0.01,16,0.36711876002838456
K20_alphasymmetric_beta0.01,17,0.42368437387163616
K20_alphasymmetric_beta0.01,18,0.6162755217744293
K20_alphasymmetric_beta0.01,19,0.35102540495401363
K20_alphasymmetric_beta0.1,0,0.4670452400312942
K20_alphasymmetric_beta0.1,1,0.3950789219019285
K20_alphasymmetric_beta0.1,2,0.5814958446711022
K20_alphasymmetric_beta0.1,3,0.449802073642869
K20_alphasymmetric_beta0.1,4,0.4629459843027261
K20_alphasymmetric_beta0.1,5,0.527469149621093
K20_alphasymmetric_beta0.1,6,0.4359121998557228
K20_alphasymmetric_beta0.1,7,0.4847707082216789
K20_alphasymmetric_beta0.1,8,0.3529581870595641
K20_alphasymmetric_beta0.1,9,0.6515287966663416
K20_alphasymmetric_beta0.1,10,0.40318551768166644
K20_alphasymmetric_beta0.1,11,0.41138389021418575
K20_alphasymmetric_beta0.1,12,0.44675391273153126
K20_alphasymmetric_beta0.1,13,0.39404512831911864
K20_alphasymmetric_beta0.1,14,0.4258654531213121
K20_alphasymmetric_beta0.1,15,0.48880833089420106
K20_alphasymmetric_beta0.1,16,0.35870964860432436
K20_alphasymmetric_beta0.1,17,0.48489773878776854
K20_alphasymmetric_beta0.1,18,0.6162755217744295
K20_alphasymmetric_beta0.1,19,0.3510254049540137
K20_alphasymmetric_beta0.5,0,0.4673388244164274
K20_alphasymmetric_beta0.5,1,0.28828052043182045
K20_alphasymmetric_beta0.5,2,0.5158493738834302
K20_alphasymmetric_beta0.5,3,0.5202918437563204
K20_alphasymmetric_beta0.5,4,0.6648934931200694
K20_alphasymmetric_beta0.5,5,0.41380155600224916
K20_alphasymmetric_beta0.5,6,0.4415180268883792
K20_alphasymmetric_beta0.5,7,0.4714469300299872
K20_alphasymmetric_beta0.5,8,0.41575243826952446
K20_alphasymmetric_beta0.5,9,0.6221739518517622
K20_alphasymmetric_beta0.5,10,0.5355651067829855
K20_alphasymmetric_beta0.5,11,0.43556421287938757
K20_alphasymmetric_beta0.5,12,0.4045894587002352
K20_alphasymmetric_beta0.5,13,0.37765108346925313
K20_alphasymmetric_beta0.5,14,0.4528418055982847
K20_alphasymmetric_beta0.5,15,0.45205675040660004
K20_alphasymmetric_beta0.5,16,0.3290000884769629
K20_alphasymmetric_beta0.5,17,0.4447714309736052
K20_alphasymmetric_beta0.5,18,0.5857350858327101
K20_alphasymmetric_beta0.5,19,0.31217352151058575
K20_alphaasymmetric_betasymmetric,0,0.4670452400312942
K20_alphaasymmetric_betasymmetric,1,0.47417461868578814
K20_alphaasymmetric_betasymmetric,2,0.5814958446711022
K20_alphaasymmetric_betasymmetric,3,0.4674035728517379
K20_alphaasymmetric_betasymmetric,4,0.43101636976553515
K20_alphaasymmetric_betasymmetric,5,0.5161354156509066
K20_alphaasymmetric_betasymmetric,6,0.4182144868014491
K20_alphaasymmetric_betasymmetric,7,0.48477070822167895
K20_alphaasymmetric_betasymmetric,8,0.3942754738200807
K20_alphaasymmetric_betasymmetric,9,0.6287235871412349
K20_alphaasymmetric_betasymmetric,10,0.40318551768166644
K20_alphaasymmetric_betasymmetric,11,0.36697926573884093
K20_alphaasymmetric_betasymmetric,12,0.44675391273153126
K20_alphaasymmetric_betasymmetric,13,0.39404512831911853
K20_alphaasymmetric_betasymmetric,14,0.44611136540871527
K20_alphaasymmetric_betasymmetric,15,0.4636067275137603
K20_alphaasymmetric_betasymmetric,16,0.36711876002838456
K20_alphaasymmetric_betasymmetric,17,0.46843232971287596
K20_alphaasymmetric_betasymmetric,18,0.6040519923311942
K20_alphaasymmetric_betasymmetric,19,0.3510254049540137
K20_alphaasymmetric_beta0.01,0,0.4670452400312942
K20_alphaasymmetric_beta0.01,1,0.3444711253393932
K20_alphaasymmetric_beta0.01,2,0.5884095116492211
K20_alphaasymmetric_beta0.01,3,0.46740357285173795
K20_alphaasymmetric_beta0.01,4,0.3724517033984226
K20_alphaasymmetric_beta0.01,5,0.5276229221135261
K20_alphaasymmetric_beta0.01,6,0.436677977718895
K20_alphaasymmetric_beta0.01,7,0.5801304973449782
K20_alphaasymmetric_beta0.01,8,0.5415551515038695
K20_alphaasymmetric_beta0.01,9,0.6287235871412349
K20_alphaasymmetric_beta0.01,10,0.3812119366522361
K20_alphaasymmetric_beta0.01,11,0.366979265738841
K20_alphaasymmetric_beta0.01,12,0.47030357457863614
K20_alphaasymmetric_beta0.01,13,0.42733816307830497
K20_alphaasymmetric_beta0.01,14,0.45048727847136305
K20_alphaasymmetric_beta0.01,15,0.4636067275137603
K20_alphaasymmetric_beta0.01,16,0.36711876002838456
K20_alphaasymmetric_beta0.01,17,0.44206284667905826
K20_alphaasymmetric_beta0.01,18,0.6162755217744293
K20_alphaasymmetric_beta0.01,19,0.35102540495401363
K20_alphaasymmetric_beta0.1,0,0.4670452400312942
K20_alphaasymmetric_beta0.1,1,0.3950789219019285
K20_alphaasymmetric_beta0.1,2,0.5814958446711022
K20_alphaasymmetric_beta0.1,3,0.46740357285173795
K20_alphaasymmetric_beta0.1,4,0.4629459843027261
K20_alphaasymmetric_beta0.1,5,0.527469149621093
K20_alphaasymmetric_beta0.1,6,0.4240006140803012
K20_alphaasymmetric_beta0.1,7,0.48477070822167895
K20_alphaasymmetric_beta0.1,8,0.3529581870595641
K20_alphaasymmetric_beta0.1,9,0.6515287966663417
K20_alphaasymmetric_beta0.1,10,0.40318551768166644
K20_alphaasymmetric_beta0.1,11,0.41138389021418575
K20_alphaasymmetric_beta0.1,12,0.44675391273153114
K20_alphaasymmetric_beta0.1,13,0.39404512831911864
K20_alphaasymmetric_beta0.1,14,0.43482575241625465
K20_alphaasymmetric_beta0.1,15,0.48880833089420106
K20_alphaasymmetric_beta0.1,16,0.3587096486043243
K20_alphaasymmetric_beta0.1,17,0.48489773878776854
K20_alphaasymmetric_beta0.1,18,0.6162755217744293
K20_alphaasymmetric_beta0.1,19,0.3510254049540137
K20_alphaasymmetric_beta0.5,0,0.47833241735547993
K20_alphaasymmetric_beta0.5,1,0.43126658020812697
K20_alphaasymmetric_beta0.5,2,0.5745319902296111
K20_alphaasymmetric_beta0.5,3,0.5202918437563204
K20_alphaasymmetric_beta0.5,4,0.6660084555641539
K20_alphaasymmetric_beta0.5,5,0.4138015560022491
K20_alphaasymmetric_beta0.5,6,0.4415180268883792
K20_alphaasymmetric_beta0.5,7,0.4714469300299872
K20_alphaasymmetric_beta0.5,8,0.41575243826952446
K20_alphaasymmetric_beta0.5,9,0.66482470357825
K20_alphaasymmetric_beta0.5,10,0.5209227499748341
K20_alphaasymmetric_beta0.5,11,0.4895657864659538
K20_alphaasymmetric_beta0.5,12,0.4045894587002352
K20_alphaasymmetric_beta0.5,13,0.3776510834692531
K20_alphaasymmetric_beta0.5,14,0.4783775502710732
K20_alphaasymmetric_beta0.5,15,0.4598594481213965
K20_alphaasymmetric_beta0.5,16,0.34378072495263495
K20_alphaasymmetric_beta0.5,17,0.44477143097360516
K20_alphaasymmetric_beta0.5,18,0.5857350858327101
K20_alphaasymmetric_beta0.5,19,0.3121735215105858
K20_alpha0.01_betasymmetric,0,0.4670452400312942
K20_alpha0.01_betasymmetric,1,0.47417461868578803
K20_alpha0.01_betasymmetric,2,0.5814958446711022
K20_alpha0.01_betasymmetric,3,0.46740357285173806
K20_alpha0.01_betasymmetric,4,0.44045044633827357
K20_alpha0.01_betasymmetric,5,0.5161354156509066
K20_alpha0.01_betasymmetric,6,0.42407479899573824
K20_alpha0.01_betasymmetric,7,0.48216326795555925
K20_alpha0.01_betasymmetric,8,0.382123615595377
K20_alpha0.01_betasymmetric,9,0.6363047591698233
K20_alpha0.01_betasymmetric,10,0.3812119366522361
K20_alpha0.01_betasymmetric,11,0.36697926573884093
K20_alpha0.01_betasymmetric,12,0.44675391273153114
K20_alpha0.01_betasymmetric,13,0.3940451283191186
K20_alpha0.01_betasymmetric,14,0.44611136540871515
K20_alpha0.01_betasymmetric,15,0.4636067275137604
K20_alpha0.01_betasymmetric,16,0.36711876002838456
K20_alpha0.01_betasymmetric,17,0.46843232971287596
K20_alpha0.01_betasymmetric,18,0.6040519923311942
K20_alpha0.01_betasymmetric,19,0.3510254049540137
K20_alpha0.01_beta0.01,0,0.4670452400312943
K20_alpha0.01_beta0.01,1,0.4310360873674326
K20_alpha0.01_beta0.01,2,0.5884095116492211
K20_alpha0.01_beta0.01,3,0.46740357285173795
K20_alpha0.01_beta0.01,4,0.3800055417884808
K20_alpha0.01_beta0.01,5,0.527622922113526
K20_alpha0.01_beta0.01,6,0.42853459056667226
K20_alpha0.01_beta0.01,7,0.5491297162602349
K20_alpha0.01_beta0.01,8,0.5415551515038693
K20_alpha0.01_beta0.01,9,0.6219608398847918
